airline_sentiment_Index,features,rawPrediction,probability,prediction
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[149,162,233,408,426,511,525,678,687,736,744,792,806,892],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3819117617787713,-1.7739399576774504,0.3920281958986783]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7071025332766573,0.03012405318508396,0.26277341353825867]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[9,152,230,330,433,971],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.25255771724678744,0.6667635178394349,-0.9193212350862225]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3542390044214704,0.5360233050227448,0.10973769055578492]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[158,433,661,687,712,736,897,942,962],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1786547601282629,-1.0431960874545443,-0.13545867267371908]}","{""vectorType"":""dense"",""length"":3,""values"":[0.726152748806891,0.07872096748837261,0.1951262837047365]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[202,216,233,287,297,304,433,498,566,594,596,603,661,663,869,957,989],""values"":[1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.5307789047224505,-1.5797392267536252,-0.9510396779688255]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9549723731752632,0.015660854893514306,0.029366771931222675]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,104,182,296,363,426,502,639,693,773,779,886,897],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.44281530660884894,-0.1676578237249759,-0.2751574828838733]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4924085714729196,0.26742406887409537,0.2401673596529852]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,177,223,248,304,330,367,372,378,422,671,785,958],""values"":[1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.013357605192631038,0.5216999843253316,-0.5350575895179629]}","{""vectorType"":""dense"",""length"":3,""values"":[0.30860407143990676,0.513064471254469,0.17833145730562427]}",1
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,32,252,300,330,342,413,477,486,524,687,815],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3678840209560979,-1.4438751177490843,1.075991096792985]}","{""vectorType"":""dense"",""length"":3,""values"":[0.31313495855549944,0.051155762065157706,0.6357092793793427]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,26,244,302,317,387,433,519,661,683,731,736,869,901,996],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3574648667869644,0.38400886765317876,-1.7414737344401434]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7028037920391006,0.2655018351685889,0.03169437279231052]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[162,227,281,330,347,357,372,421,451,553,586,791,860,944],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6184426155209457,-1.2218910317753653,-0.39655158374558097]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8391181070125869,0.04900967954981192,0.11187221343760104]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[22,29,40,75,191,196,325,330,372,426,661,736,956,998],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.0199667599526503,-0.1812217201750525,-1.8387450397775984]}","{""vectorType"":""dense"",""length"":3,""values"":[0.883574322037097,0.09778653908273376,0.01863913888016921]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[281,303,393,415,588,736,806,942],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.643743899517159,-0.5179090296467104,-1.1258348698704492]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8490239614240299,0.09775208023969169,0.053223958336278465]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[20,66,115,330,661,675,965],""values"":[1,1,1,3,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7507507161679363,0.20831165133384183,-0.9590623675017782]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5674633882077605,0.32988271040544315,0.10265390138679634]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[152,232,280,289,323,411,682,687,736,822,842],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.9165163712776521,-1.688460159912491,2.6049765311901423]}","{""vectorType"":""dense"",""length"":3,""values"":[0.028331006043967603,0.013092152909563082,0.9585768410464693]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[129,153,205,248,286,413,445,456,604,736,866,867,997],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.317100702090808,-0.6579184546688532,-0.6591822474219553]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7828756555585685,0.10863077225484204,0.10849357218658949]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[24,50,79,190,224,261,274,402,447,560,731,738,782,909,911],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.073453366626486,0.5963780253896589,-1.669831392016145]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5934878825398804,0.368316070090931,0.038196047369188774]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[33,103,227,297,391,393,682,832],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.601865424134515,0.15460511738972574,-0.7564705415242412]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5272966508309769,0.33714158923974685,0.1355617599292761]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[16,29,61,157,221,275,286,433,488,553,736,741,809,850],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.129756752234727,-1.1660236526400134,-0.9637330995947136]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9238877573856947,0.0342199971335085,0.041892245480796765]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[312,372,460,597,736,825],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7804529242923981,0.3014750961207408,-1.0819280204131387]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5634695982975035,0.3490222076090148,0.08750819409348176]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,273,277,385,515,560,674,681,753,902],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6999096361967759,0.06822892521524676,-0.7681385614120229]}","{""vectorType"":""dense"",""length"":3,""values"":[0.567513663558989,0.30174555068755476,0.1307407857534563]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,34,157,177,199,273,330,432,436,627,635,750,893],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6218118905897347,-0.9737393235387206,0.3519274329489861]}","{""vectorType"":""dense"",""length"":3,""values"":[0.50857859816845,0.10313806815044001,0.3882833336811099]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[61,141,297,402,413,632,927,952,968,985],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5981546263910743,0.062408351889127744,-0.6605629782802023]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5349738056652248,0.3130839952034808,0.1519421991312945]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[147,166,273,433,436,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.44675676618479954,0.019097029412493527,-0.4658537955972933]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4869715580456244,0.3175216427764004,0.19550679917797523]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[196,285,307,330,619,662,734,736,800,837,866,909],""values"":[1,1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1254807725708231,0.04738448973890391,-1.1728652623097269]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6941227181781493,0.23617014281198295,0.06970713900986784]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[61,74,157,183,184,309,430,451,560,680,911],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0273063503978304,0.26586857250624274,-1.2931749229040723]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6388874933537727,0.29835695171871424,0.0627555549275131]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[136,330,354,426,496,611,682,734,839,868,882,958],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-1.2772252255101235,-0.9229624474337765,2.2001876729439]}","{""vectorType"":""dense"",""length"":3,""values"":[0.02873481997673481,0.04095084336451145,0.9303143366587537]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[114,162,323,377,426,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1887824019199797,-0.03763217484219189,-1.1511502270777878]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7195918926837579,0.2110868497189208,0.06932125759732119]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,234,252,413,430,496,544,663,674,881,899,954],""values"":[1,1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8827440211195168,-0.7266114680534415,-0.1561325530660762]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6435551135528558,0.12872163193002512,0.2277232545171191]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,92,232,246,330,372,535,661,751,999],""values"":[2,1,1,1,1,2,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9631343085888749,0.07614620989508286,-1.0392805184839582]}","{""vectorType"":""dense"",""length"":3,""values"":[0.646452803731958,0.26627033617810714,0.08727686008993482]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,152,214,330,422,436,545,687,824],""values"":[2,1,1,2,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.46340708097637223,-0.3774261468912207,-0.08598093408515212]}","{""vectorType"":""dense"",""length"":3,""values"":[0.49784583029050156,0.21474627683286238,0.28740789287663615]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,133,168,273,443,689,768,874],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.8977905385826718,-0.2170811792322635,1.114871717814935]}","{""vectorType"":""dense"",""length"":3,""values"":[0.09561608381825669,0.18886838674089526,0.7155155294408481]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,66,182,245,262,385,560,671,682,687,732,950],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.40490518188665525,-1.3105671958922835,1.715472377778939]}","{""vectorType"":""dense"",""length"":3,""values"":[0.10268460959488174,0.041512734426232885,0.8558026559788855]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[62,71,177,208,344,560,817,958],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7473952043659672,-1.2168377319961194,0.4694425276301515]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5269825343041719,0.07391638115453437,0.39910108454129395]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[2,72,117,440,471,490,684,783,836,870,899,931,989],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5361622186109463,0.950368546731601,-1.4865307653425472]}","{""vectorType"":""dense"",""length"":3,""values"":[0.37800494882594915,0.5719854853448973,0.05000956582915356]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[103,252,325,401,413,560,623,727,737,758,855,860,884],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.2502785261693297,-0.8162512800131208,-1.434027246156209]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9330994484564987,0.04346612847206375,0.023434423071437564]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[7,37,81,138,168,175,240,372,388,391,434,617,668,736,778],""values"":[1,1,1,1,1,1,1,3,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9050748675051955,-1.0959001994251336,0.19082533191993767]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6154744718356763,0.08321423295304459,0.3013112952112792]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[28,69,159,191,326,372,406,416,525,543,736,744,747,751,763,874,911],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6418564402974594,-0.7810203520049772,-0.8608360882924825]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8543135252063756,0.0757487134166411,0.06993776137698345]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[144,425,435,524,560,587,751,929,930],""values"":[2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4486623411182976,0.6141812282037569,-1.0628435693220555]}","{""vectorType"":""dense"",""length"":3,""values"":[0.41656550945238713,0.4915494878598809,0.0918850026877321]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,262,263,282,330,336,560,566,603,661,736,869,897,955],""values"":[1,1,1,1,1,1,1,1,1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.2213751885428143,-0.4544973692089363,-1.7668778193338779]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9196427303863586,0.06331439423220568,0.017042875381435736]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[99,304,330,736,749],""values"":[1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6449376900457878,-0.2864322723303296,-0.3585054177154585]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5679789827447304,0.22379141912926107,0.20822959812600858]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,133,297,393,395,468,537,550,643,660,909],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7836026326254645,0.4160055961409516,-1.1996082287664167]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5464412903740448,0.37835383793032173,0.07520487169563336]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[206,367,529,736,928,982],""values"":[1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6181650730787455,0.5295373773727686,-1.1477024504515136]}","{""vectorType"":""dense"",""length"":3,""values"":[0.47933477990424894,0.43868059392541664,0.08198462617033443]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[168,325,328,330,374,536,569,738,755,897,915,956,993],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1062376319133964,-0.6614351383824253,-0.44480249353097145]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7231927742171534,0.12347059707141046,0.1533366287114361]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[420,422,560,607,609,850],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1894215290460926,0.12973961052227084,-1.3191611395683638]}","{""vectorType"":""dense"",""length"":3,""values"":[0.700304861070417,0.2427018748143622,0.05699326411522085]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[226,367,422,523,533,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.0654199155541815,1.0172179505521508,-1.0826378661063323]}","{""vectorType"":""dense"",""length"":3,""values"":[0.25591054954505355,0.6629012285740018,0.08118822188094468]}",1
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[135,166,330,463,532,557,569,582,750,806,822,927,944,962],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-1.4177761226380168,-1.6760715149872516,3.0938476376252693]}","{""vectorType"":""dense"",""length"":3,""values"":[0.01077099414594768,0.008319160942729522,0.9809098449113228]}",2
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,113,216,262,334,481,504,682,874,944],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.4351511314018567,-0.7267152423024159,1.1618663737042718]}","{""vectorType"":""dense"",""length"":3,""values"":[0.14958021465090895,0.11175049811470882,0.7386692872343823]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,22,35,90,297,389,395,415,426,450,510,537,600,683,892,914],""values"":[1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.684173566509448,-0.5014062036436231,-2.1827673628658264]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9532423771120857,0.03942063585338495,0.007336987034529324]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[297,537,599,775],""values"":[1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.29663560475841366,0.5437687662609187,-0.8404043710193322]}","{""vectorType"":""dense"",""length"":3,""values"":[0.384450264551616,0.4922307404021096,0.12331899504627444]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[86,110,146,297,730],""values"":[1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.33962127307534384,-0.094434659488424,-0.24518661358692032]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4534964519762929,0.29380947507777055,0.25269407294593654]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[146,153,347,365,430,560,621,958,992],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5683843448483034,-0.540136551854878,-0.028247792993426113]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5317141298235452,0.17549053296972666,0.2927953372067281]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,10,16,61,224,273,474,496,560,747,803,924],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.44741663037200646,-0.7149141271566639,0.26749749678465706]}","{""vectorType"":""dense"",""length"":3,""values"":[0.46552894755410534,0.14559714443785834,0.3888739080080364]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[119,330,462,537,580,613,664,707,782,809],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3339940638532595,0.22681096121901084,-1.5608050250722705]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7216055052941894,0.2384823957828778,0.039912098922932626]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,304,515,681,736,823,840,904,952,966],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.066536724941175,0.3037613014131434,-1.370298026354319]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6435803959210987,0.3001467528126275,0.05627285126627376]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,112,157,281,330,332,419,450,580,594,874,882,898,944,958,989],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3715944332522552,-1.5562452913550866,0.18465085810283122]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7360165877072126,0.039386098792154926,0.22459731350063258]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,146,206,262,297,347,387,405,537,603,658,815],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0145891651987042,0.18634712821810032,-1.2009362934168042]}","{""vectorType"":""dense"",""length"":3,""values"":[0.646867060947306,0.2825622178364191,0.07057072121627495]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[217,479,787,792,795,860,865,869],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.281834377382596,-0.22368451043648635,-1.0581498669461096]}","{""vectorType"":""dense"",""length"":3,""values"":[0.758592226566251,0.1683332245391086,0.07307454889464038]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[296,330,451,504,525,758,781],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5897526704868441,-0.3523778133684394,-0.23737485711840428]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5473153814853197,0.2133416173379206,0.2393430011767598]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,30,114,139,188,366,372,403,418,477,527,560,644,736,758,778,892],""values"":[1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.3961727016133154,-1.327367253585628,-1.0688054480276876]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9474882843077428,0.02288026198488753,0.029631453707369658]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,367,519,534,619,659,664,768],""values"":[1,1,1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.025429374288323293,0.6817414643242636,-0.6563120900359394]}","{""vectorType"":""dense"",""length"":3,""values"":[0.28086993868205784,0.5696730211541476,0.14945704016379457]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[372,413,416,422,456,457,560,901],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7393818779005158,-0.06458287483098663,-0.6747990030695297]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5914794920727998,0.26471724571407657,0.1438032622131236]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[150,221,297,413,687,798,822,898],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.12356136146382216,-1.176710011979048,1.3002713734428686]}","{""vectorType"":""dense"",""length"":3,""values"":[0.1817572104647883,0.06340375821623864,0.754839031318973]}",2
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[11,112,182,213,230,330,367,941,944],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.14187226119693402,-0.1762681179865307,0.31814037918346516]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2816676895589919,0.2721442110454469,0.44618809939556126]}",2
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[110,199,536,560,623,945],""values"":[1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5479820220028727,0.6075926398796438,-1.1555746618825167]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4457404402274651,0.47311922966509745,0.08114033010743747]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,123,173,211,482,556,560,792,870,896,989],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6016004994453574,0.2849192169631764,-1.886519716408534]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7700709863093517,0.20639698338718895,0.023532030303459243]}",0
